state,city,county,zip_code
AK,Akutan,Aleutians East,99553
AK,Cold Bay,Aleutians East,99571
AK,False Pass,Aleutians East,99583
AK,King Cove,Aleutians East,99612
AK,Sand Point,Aleutians East,99661
AK,Adak,Aleutians West,99546
AK,Atka,Aleutians West,99547
AK,Saint George Island,Aleutians West,99591
AK,Nikolski,Aleutians West,99638
AK,Saint Paul Island,Aleutians West,99660
AK,Unalaska,Aleutians West,99685
AK,Dutch Harbor,Aleutians West,99692
AK,Anchorage,Anchorage,99501
AK,Anchorage,Anchorage,99502
AK,Anchorage,Anchorage,99503
AK,Anchorage,Anchorage,99504
AK,Fort Richardson,Anchorage,99505
AK,Elmendorf Afb,Anchorage,99506
AK,Anchorage,Anchorage,99507
AK,Anchorage,Anchorage,99508
AK,Anchorage,Anchorage,99509
AK,Anchorage,Anchorage,99510
AK,Anchorage,Anchorage,99511
AK,Anchorage,Anchorage,99512
AK,Anchorage,Anchorage,99513
AK,Anchorage,Anchorage,99514
AK,Anchorage,Anchorage,99515
AK,Anchorage,Anchorage,99516
AK,Anchorage,Anchorage,99517
AK,Anchorage,Anchorage,99518
AK,Anchorage,Anchorage,99519
AK,Anchorage,Anchorage,99520
AK,Anchorage,Anchorage,99521
AK,Anchorage,Anchorage,99522
AK,Anchorage,Anchorage,99523
AK,Anchorage,Anchorage,99524
AK,Indian,Anchorage,99540
AK,Chugiak,Anchorage,99567
AK,Eagle River,Anchorage,99577
AK,Girdwood,Anchorage,99587
AK,Anchorage,Anchorage,99599
AK,Anchorage,Anchorage,99695
AK,Akiachak,Bethel,99551
AK,Akiak,Bethel,99552
AK,Aniak,Bethel,99557
AK,Bethel,Bethel,99559
AK,Chefornak,Bethel,99561
AK,Crooked Creek,Bethel,99575
AK,Eek,Bethel,99578
AK,Goodnews Bay,Bethel,99589
AK,Kalskag,Bethel,99607
AK,Kasigluk,Bethel,99609
AK,Kipnuk,Bethel,99614
AK,Kwethluk,Bethel,99621
AK,Kwigillingok,Bethel,99622
AK,Lower Kalskag,Bethel,99626
AK,Mekoryuk,Bethel,99630
AK,Napakiak,Bethel,99634
AK,Toksook Bay,Bethel,99637
AK,Nunapitchuk,Bethel,99641
AK,Platinum,Bethel,99651
AK,Quinhagak,Bethel,99655
AK,Red Devil,Bethel,99656
AK,Sleetmute,Bethel,99668
AK,Tuluksak,Bethel,99679
AK,Tuntutuliak,Bethel,99680
AK,Tununak,Bethel,99681
AK,Nightmute,Bethel,99690
AK,Naknek,Bristol Bay,99633
AK,South Naknek,Bristol Bay,99670
AK,Clear,Denali,99704
AK,Cantwell,Denali,99729
AK,Healy,Denali,99743
AK,Anderson,Denali,99744
AK,Denali National Park,Denali,99755
AK,Aleknagik,Dillingham,99555
AK,Clarks Point,Dillingham,99569
AK,Dillingham,Dillingham,99576
AK,Ekwok,Dillingham,99580
AK,Manokotak,Dillingham,99628
AK,New Stuyahok,Dillingham,99636
AK,Togiak,Dillingham,99678
AK,Fairbanks,Fairbanks North Star,99701
AK,Eielson Afb,Fairbanks North Star,99702
AK,Fort Wainwright,Fairbanks North Star,99703
AK,North Pole,Fairbanks North Star,99705
AK,Fairbanks,Fairbanks North Star,99706
AK,Fairbanks,Fairbanks North Star,99707
AK,Fairbanks,Fairbanks North Star,99708
AK,Fairbanks,Fairbanks North Star,99709
AK,Fairbanks,Fairbanks North Star,99710
AK,Fairbanks,Fairbanks North Star,99711
AK,Fairbanks,Fairbanks North Star,99712
AK,Salcha,Fairbanks North Star,99714
AK,Two Rivers,Fairbanks North Star,99716
AK,Ester,Fairbanks North Star,99725
AK,Fairbanks,Fairbanks North Star,99775
AK,Fairbanks,Fairbanks North Star,99790
AK,Haines,Haines,99827
AK,Juneau,Juneau,99801
AK,Juneau,Juneau,99802
AK,Juneau,Juneau,99803
AK,Juneau,Juneau,99811
AK,Auke Bay,Juneau,99821
AK,Douglas,Juneau,99824
AK,Juneau,Juneau,99850
AK,Anchor Point,Kenai Peninsula,99556
AK,Clam Gulch,Kenai Peninsula,99568
AK,Cooper Landing,Kenai Peninsula,99572
AK,Homer,Kenai Peninsula,99603
AK,Hope,Kenai Peninsula,99605
AK,Kasilof,Kenai Peninsula,99610
AK,Kenai,Kenai Peninsula,99611
AK,Moose Pass,Kenai Peninsula,99631
AK,Nikiski,Kenai Peninsula,99635
AK,Ninilchik,Kenai Peninsula,99639
AK,Seldovia,Kenai Peninsula,99663
AK,Seward,Kenai Peninsula,99664
AK,Soldotna,Kenai Peninsula,99669
AK,Sterling,Kenai Peninsula,99672
AK,Tyonek,Kenai Peninsula,99682
AK,Ketchikan,Ketchikan Gateway,99901
AK,Ward Cove,Ketchikan Gateway,99928
AK,Ketchikan,Ketchikan Gateway,99950
AK,Port Lions,Kodiak Island,99550
AK,Karluk,Kodiak Island,99608
AK,Kodiak,Kodiak Island,99615
AK,Kodiak,Kodiak Island,99619
AK,Larsen Bay,Kodiak Island,99624
AK,Old Harbor,Kodiak Island,99643
AK,Ouzinkie,Kodiak Island,99644
AK,Kodiak,Kodiak Island,99697
AK,Chignik Lake,Lake And Peninsula,99548
AK,Port Heiden,Lake And Peninsula,99549
AK,Chignik,Lake And Peninsula,99564
AK,Chignik Lagoon,Lake And Peninsula,99565
AK,Egegik,Lake And Peninsula,99579
AK,Iliamna,Lake And Peninsula,99606
AK,King Salmon,Lake And Peninsula,99613
